source,time_period,geo_strat,geo_label,sex_strat,sex_label,age_strat,age_label,abm_strat,abm_label,ppop_strat,ppop_label,domain,measure_raw,measure_gfs,measure_unit,ind_strat,ind_label,est,error_type,error,lci,uci,releasability,prop
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,40-44,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",757,NA,NA,NA,NA,yes,0.9
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,50-54,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",383,NA,NA,NA,NA,yes,2.1
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,100+,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",403,NA,NA,NA,NA,yes,2.2
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,85-89,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",16204,NA,NA,NA,NA,yes,18.2
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,95-99,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",821,NA,NA,NA,NA,yes,-4
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,0-4,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",145,NA,NA,NA,NA,yes,0.8
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,65-69,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",7313,NA,NA,NA,NA,yes,-7.4
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,50-54,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",1722,NA,NA,NA,NA,yes,1.9
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,45-49,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",1018,NA,NA,NA,NA,yes,1.1
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,0-4,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",636,NA,NA,NA,NA,yes,-0.6
